Selection Ranking,Processing,Classifier,Run,Accuracy,Specificity,F1-Score,Sensitivity,Auc
KW,LDA,Euclidean_MDC,2,0.9713479929599863,0.9330731800820592,0.9755618579355577,1.0,0.9939672475344118
KW,LDA,Euclidean_MDC,3,0.9713691978201403,0.9331175027988365,0.9755795705817917,1.0,0.9939639076258959
KW,LDA,Euclidean_MDC,4,0.9713479929599863,0.9330710352474874,0.975562625353178,1.0,0.9939655576190777
KW,LDA,Euclidean_MDC,5,0.9713691978201403,0.9331131923026694,0.9755813444619059,1.0,0.9939521442826096
KW,LDA,Mahalanobis_MDC,1,0.9922347802116246,0.9865870703297224,0.9932326697061153,0.996462244988409,0.9939619935580024
KW,LDA,Mahalanobis_MDC,2,0.9921245149388239,0.9865664117219349,0.9931363084661413,0.9962845673995133,0.9939531033104866
KW,LDA,Mahalanobis_MDC,3,0.9922135753514706,0.9865763417008484,0.9932147139801325,0.9964338152397536,0.9939409750517587
KW,LDA,Mahalanobis_MDC,4,0.9921796475752241,0.9865583979348151,0.9931842058216445,0.9963884134806102,0.9939612469819703
KW,LDA,Mahalanobis_MDC,5,0.9922432621556861,0.9865749824707446,0.9932397991352786,0.9964831038928779,0.9939693107225438
KW,LDA,Bayes_Classifier,1,0.9912254288682967,0.9814462740515003,0.9923756820773985,0.9985467436707364,0.9945309994476124
KW,LDA,Bayes_Classifier,2,0.9912254288682967,0.9814663175722547,0.99237568039148,0.9985319973317605,0.9945326428814205
KW,LDA,Bayes_Classifier,3,0.9912254288682967,0.9814695048123518,0.9923771930101652,0.99852382272162,0.994523770580421
KW,LDA,Bayes_Classifier,4,0.9912423927564198,0.9814742285767727,0.9923905769876903,0.9985535945270098,0.9945313924826269
KW,LDA,Bayes_Classifier,5,0.9913017663648507,0.9815722664617379,0.9924424415119926,0.9985834417624059,0.9945355534282073
KW,LDA,KNN_Classifier,1,0.9928327572679659,0.9859129476128897,0.9937605461665848,0.9980126569127222,0.9946423320154207
